Time,T0179,,
and,10,,
Date,Pioggia (mm),,
,Point,Qual,
00:00:00 01/07/2016,0,1,Sites:
00:05:00 01/07/2016,0,1,T0179 - Tione Lat:46.04113243 Long:10.7308802 Elev:533
00:10:00 01/07/2016,0,1,
00:15:00 01/07/2016,0,1,Variables:
00:20:00 01/07/2016,0,1,10 - Pioggia (millimetri)
00:25:00 01/07/2016,0,1,
00:30:00 01/07/2016,0,1,Qualities:
00:35:00 01/07/2016,0,1,1 - Dato buono
00:40:00 01/07/2016,0,1,"145 - da teletrasmissione, non validato"
00:45:00 01/07/2016,0,1,255 - No data
00:50:00 01/07/2016,0,1,
00:55:00 01/07/2016,0,1,
01:00:00 01/07/2016,0,1,
01:05:00 01/07/2016,0,1,
01:10:00 01/07/2016,0,1,
01:15:00 01/07/2016,0,1,
01:20:00 01/07/2016,0,1,
01:25:00 01/07/2016,0,1,
01:30:00 01/07/2016,0,1,
01:35:00 01/07/2016,0,1,
01:40:00 01/07/2016,0,1,
01:45:00 01/07/2016,0,1,
01:50:00 01/07/2016,0,1,
01:55:00 01/07/2016,0,1,
02:00:00 01/07/2016,0,1,
02:05:00 01/07/2016,0,1,
02:10:00 01/07/2016,0,1,
02:15:00 01/07/2016,0,1,
02:20:00 01/07/2016,0,1,
02:25:00 01/07/2016,0,1,
02:30:00 01/07/2016,0,1,
02:35:00 01/07/2016,0,1,
02:40:00 01/07/2016,0,1,
02:45:00 01/07/2016,0,1,
02:50:00 01/07/2016,0,1,
02:55:00 01/07/2016,0,1,
03:00:00 01/07/2016,0,1,
03:05:00 01/07/2016,0,1,
03:10:00 01/07/2016,0,1,
03:15:00 01/07/2016,0,1,
03:20:00 01/07/2016,0,1,
03:25:00 01/07/2016,0,1,
03:30:00 01/07/2016,0,1,
03:35:00 01/07/2016,0,1,
03:40:00 01/07/2016,0,1,
03:45:00 01/07/2016,0,1,
03:50:00 01/07/2016,0,1,
03:55:00 01/07/2016,0,1,
04:00:00 01/07/2016,0,1,
04:05:00 01/07/2016,0,1,
04:10:00 01/07/2016,0,1,
04:15:00 01/07/2016,0,1,
04:20:00 01/07/2016,0,1,
04:25:00 01/07/2016,0,1,
04:30:00 01/07/2016,0,1,
04:35:00 01/07/2016,0,1,
04:40:00 01/07/2016,0,1,
04:45:00 01/07/2016,0,1,
04:50:00 01/07/2016,0,1,
04:55:00 01/07/2016,0,1,
05:00:00 01/07/2016,0,1,
05:05:00 01/07/2016,0,1,
05:10:00 01/07/2016,0,1,
05:15:00 01/07/2016,0,1,
05:20:00 01/07/2016,0,1,
05:25:00 01/07/2016,0,1,
05:30:00 01/07/2016,0,1,
05:35:00 01/07/2016,0,1,
05:40:00 01/07/2016,0,1,
05:45:00 01/07/2016,0,1,
05:50:00 01/07/2016,0,1,
05:55:00 01/07/2016,0,1,
06:00:00 01/07/2016,0,1,
06:05:00 01/07/2016,0,1,
06:10:00 01/07/2016,0,1,
06:15:00 01/07/2016,0,1,
06:20:00 01/07/2016,0,1,
06:25:00 01/07/2016,0,1,
06:30:00 01/07/2016,0,1,
06:35:00 01/07/2016,0,1,
06:40:00 01/07/2016,0,1,
06:45:00 01/07/2016,0,1,
06:50:00 01/07/2016,0,1,
06:55:00 01/07/2016,0,1,
07:00:00 01/07/2016,0,1,
07:05:00 01/07/2016,0,1,
07:10:00 01/07/2016,0,1,
07:15:00 01/07/2016,0,1,
07:20:00 01/07/2016,0,1,
07:25:00 01/07/2016,0,1,
07:30:00 01/07/2016,0,1,
07:35:00 01/07/2016,0,1,
07:40:00 01/07/2016,0,1,
07:45:00 01/07/2016,0,1,
07:50:00 01/07/2016,0,1,
07:55:00 01/07/2016,0,1,
08:00:00 01/07/2016,0,1,
08:05:00 01/07/2016,0,1,
08:10:00 01/07/2016,0,1,
08:15:00 01/07/2016,0,1,
08:20:00 01/07/2016,0,1,
08:25:00 01/07/2016,0,1,
08:30:00 01/07/2016,0,1,
08:35:00 01/07/2016,0,1,
08:40:00 01/07/2016,0,1,
08:45:00 01/07/2016,0,1,
08:50:00 01/07/2016,0,1,
08:55:00 01/07/2016,0,1,
09:00:00 01/07/2016,0,1,
09:05:00 01/07/2016,0,1,
09:10:00 01/07/2016,0,1,
09:15:00 01/07/2016,0,1,
09:20:00 01/07/2016,0,1,
09:25:00 01/07/2016,0,1,
09:30:00 01/07/2016,0,1,
09:35:00 01/07/2016,0,1,
09:40:00 01/07/2016,0,1,
09:45:00 01/07/2016,0,1,
09:50:00 01/07/2016,0,1,
09:55:00 01/07/2016,0,1,
10:00:00 01/07/2016,0,1,
10:05:00 01/07/2016,0,1,
10:10:00 01/07/2016,0,1,
10:15:00 01/07/2016,0,1,
10:20:00 01/07/2016,0,1,
